subjID,SPM_image,SPM_file_t,SPM_file_c,FS_image,FS_file_lh,FS_file_rh,LH_SN_spcorr,RH_SN_spcorr,LH_SN_volume,RH_SN_volume,LH_SN_ES,RH_SN_ES,Lateralization_volume,Lateralization_ES,Lateralization
sub663,SPM_images/sub663.png,SPM_files/sub663_spmT.nii,SPM_files/sub663_con.nii,FS_images/sub663.png,FS_files/sub663/lh_sig.nii.gz,FS_files/sub663/rh_sig.nii.gz,0.789116667,0.569633667,667,1093,0.485325667,0.4500505,-0.242045455,0.035275167,bi-lat
sub664,SPM_images/sub664.png,SPM_files/sub664_spmT.nii,SPM_files/sub664_con.nii,FS_images/sub664.png,FS_files/sub664/lh_sig.nii.gz,FS_files/sub664/rh_sig.nii.gz,0.418607,0.378009833,494,114,0.064792167,-0.027823333,0.625,0.0926155,bi-lat
sub665,SPM_images/sub665.png,SPM_files/sub665_spmT.nii,SPM_files/sub665_con.nii,FS_images/sub665.png,FS_files/sub665/lh_sig.nii.gz,FS_files/sub665/rh_sig.nii.gz,1.271378667,0.679318667,1785,428,1.149358667,0.314427,0.613194758,0.834931667,left-lat
sub666,SPM_images/sub666.png,SPM_files/sub666_spmT.nii,SPM_files/sub666_con.nii,FS_images/sub666.png,FS_files/sub666/lh_sig.nii.gz,FS_files/sub666/rh_sig.nii.gz,0.463067333,-0.055147167,761,385,0.403985167,-0.012042,0.328097731,0.416027167,left-lat
sub667,SPM_images/sub667.png,SPM_files/sub667_spmT.nii,SPM_files/sub667_con.nii,FS_images/sub667.png,FS_files/sub667/lh_sig.nii.gz,FS_files/sub667/rh_sig.nii.gz,0.749906,0.737409333,1832,235,0.955920333,0.174870833,0.77261732,0.7810495,left-lat
sub668,SPM_images/sub668.png,SPM_files/sub668_spmT.nii,SPM_files/sub668_con.nii,FS_images/sub668.png,FS_files/sub668/lh_sig.nii.gz,FS_files/sub668/rh_sig.nii.gz,0.565044,0.988253667,1240,1260,0.609677833,0.894945,-0.008,-0.285267167,right-lat
sub669,SPM_images/sub669.png,SPM_files/sub669_spmT.nii,SPM_files/sub669_con.nii,FS_images/sub669.png,FS_files/sub669/lh_sig.nii.gz,FS_files/sub669/rh_sig.nii.gz,0.916777167,0.074956,2549,690,1.9406325,0.407162833,0.573942575,1.533469667,left-lat
sub670,SPM_images/sub670.png,SPM_files/sub670_spmT.nii,SPM_files/sub670_con.nii,FS_images/sub670.png,FS_files/sub670/lh_sig.nii.gz,FS_files/sub670/rh_sig.nii.gz,0.377623,0.2728865,102,8,0.042537,0.0450135,0.854545455,-0.0024765,bi-lat
sub671,SPM_images/sub671.png,SPM_files/sub671_spmT.nii,SPM_files/sub671_con.nii,FS_images/sub671.png,FS_files/sub671/lh_sig.nii.gz,FS_files/sub671/rh_sig.nii.gz,0.76769,0.537477,1951,546,1.828063,0.7448375,0.56267521,1.0832255,left-lat
sub672,SPM_images/sub672.png,SPM_files/sub672_spmT.nii,SPM_files/sub672_con.nii,FS_images/sub672.png,FS_files/sub672/lh_sig.nii.gz,FS_files/sub672/rh_sig.nii.gz,1.039537167,0.368985333,2538,889,1.154211167,0.417791333,0.481178874,0.736419833,left-lat
